Measurement Mode,Photometric,,,,,,,,,
FileVersion,2,,,,,,,,,
,,,,,,,,,,
No. of Total Measurement,4,,,,,,,,,
Sample Name,Date:Time,Check,Judge,OD230,OD260,OD280,OD550,OD650,Pathlength(mm),Dilution
Blank,22/7/2029 10:48,,,-0.005,0.038,-0.057,-0.008,-0.007,0.201,1
prot_1to1,22/7/2029 10:49,C,,6.525,0.493,0.643,4.224,5.827,0.201,1
prot_1to1.5,22/7/2029 10:50,C,,7.481,0.51,0.688,4.765,9.468,0.201,1
prot_1t2,22/7/2029 10:51,C,,7.191,0.625,0.826,5.124,11.91,0.201,1
Wavelength(nm),Blank,prot_1to1,prot_1to1.5,prot_1t2,,,,,,
422,-0.014,0.021,-0.02,0.025,,,,,,
423,-0.014,0.022,-0.02,0.024,,,,,,
424,-0.015,0.024,-0.019,0.025,,,,,,
425,-0.016,0.024,-0.02,0.025,,,,,,
426,-0.017,0.024,-0.022,0.022,,,,,,
427,-0.019,0.025,-0.024,0.021,,,,,,
428,-0.022,0.026,-0.022,0.021,,,,,,
429,-0.022,0.03,-0.017,0.025,,,,,,
430,-0.021,0.036,-0.01,0.032,,,,,,
431,-0.02,0.041,-0.004,0.039,,,,,,
432,-0.018,0.047,0.004,0.048,,,,,,
433,-0.018,0.052,0.011,0.054,,,,,,
434,-0.017,0.056,0.015,0.06,,,,,,
435,-0.016,0.06,0.019,0.064,,,,,,
436,-0.017,0.064,0.025,0.069,,,,,,
437,-0.017,0.072,0.032,0.078,,,,,,
438,-0.016,0.078,0.041,0.087,,,,,,
439,-0.016,0.086,0.051,0.097,,,,,,
440,-0.015,0.093,0.059,0.106,,,,,,
441,-0.015,0.098,0.065,0.111,,,,,,
442,-0.017,0.101,0.065,0.113,,,,,,
443,-0.018,0.108,0.072,0.12,,,,,,
444,-0.017,0.119,0.085,0.133,,,,,,
445,-0.016,0.131,0.101,0.149,,,,,,
446,-0.015,0.142,0.114,0.164,,,,,,
447,-0.013,0.15,0.123,0.173,,,,,,
448,-0.015,0.157,0.129,0.18,,,,,,
449,-0.016,0.166,0.136,0.187,,,,,,
450,-0.017,0.177,0.148,0.199,,,,,,
451,-0.017,0.19,0.163,0.215,,,,,,
452,-0.017,0.204,0.179,0.232,,,,,,
453,-0.017,0.215,0.192,0.245,,,,,,
454,-0.018,0.228,0.205,0.259,,,,,,
455,-0.018,0.243,0.222,0.277,,,,,,
456,-0.017,0.259,0.243,0.298,,,,,,
457,-0.015,0.278,0.265,0.322,,,,,,
458,-0.014,0.299,0.291,0.349,,,,,,
459,-0.011,0.319,0.316,0.376,,,,,,
460,-0.01,0.332,0.329,0.39,,,,,,
461,-0.012,0.343,0.337,0.399,,,,,,
462,-0.014,0.36,0.354,0.417,,,,,,
463,-0.015,0.386,0.382,0.447,,,,,,
464,-0.015,0.412,0.414,0.479,,,,,,
465,-0.015,0.438,0.444,0.511,,,,,,
466,-0.014,0.464,0.473,0.542,,,,,,
467,-0.011,0.49,0.503,0.573,,,,,,
468,-0.012,0.516,0.531,0.603,,,,,,
469,-0.012,0.547,0.566,0.64,,,,,,
470,-0.012,0.582,0.604,0.681,,,,,,
471,-0.011,0.617,0.645,0.723,,,,,,
472,-0.011,0.653,0.686,0.765,,,,,,
473,-0.01,0.689,0.725,0.807,,,,,,
474,-0.011,0.724,0.765,0.85,,,,,,
475,-0.012,0.763,0.809,0.895,,,,,,
476,-0.011,0.803,0.854,0.943,,,,,,
477,-0.011,0.842,0.898,0.991,,,,,,
478,-0.011,0.88,0.941,1.034,,,,,,
479,-0.011,0.917,0.982,1.077,,,,,,
480,-0.011,0.956,1.027,1.125,,,,,,
481,-0.01,0.999,1.079,1.18,,,,,,
482,-0.007,1.047,1.138,1.241,,,,,,
483,-0.002,1.089,1.192,1.297,,,,,,
484,-0.004,1.106,1.204,1.311,,,,,,
485,-0.009,1.128,1.223,1.333,,,,,,
486,-0.012,1.17,1.268,1.382,,,,,,
487,-0.01,1.225,1.334,1.45,,,,,,
488,-0.011,1.263,1.377,1.493,,,,,,
489,-0.012,1.298,1.412,1.534,,,,,,
490,-0.011,1.341,1.463,1.588,,,,,,
491,-0.008,1.394,1.527,1.654,,,,,,
492,-0.006,1.44,1.58,1.71,,,,,,
493,-0.009,1.481,1.621,1.754,,,,,,
494,-0.012,1.539,1.685,1.823,,,,,,
495,-0.011,1.615,1.773,1.915,,,,,,
496,-0.009,1.696,1.867,2.013,,,,,,
497,-0.008,1.77,1.951,2.102,,,,,,
498,-0.009,1.841,2.031,2.187,,,,,,
499,-0.009,1.919,2.115,2.277,,,,,,
500,-0.008,2.004,2.209,2.377,,,,,,
501,-0.008,2.092,2.308,2.482,,,,,,
502,-0.008,2.181,2.41,2.589,,,,,,
503,-0.008,2.274,2.513,2.7,,,,,,
504,-0.006,2.366,2.614,2.806,,,,,,
505,-0.006,2.451,2.709,2.906,,,,,,
506,-0.006,2.531,2.8,3.001,,,,,,
507,-0.006,2.61,2.889,3.094,,,,,,
508,-0.006,2.685,2.973,3.184,,,,,,
509,-0.006,2.753,3.049,3.263,,,,,,
510,-0.006,2.812,3.114,3.332,,,,,,
511,-0.005,2.862,3.169,3.39,,,,,,
512,-0.005,2.904,3.215,3.436,,,,,,
513,-0.006,2.936,3.252,3.475,,,,,,
514,-0.007,2.962,3.28,3.505,,,,,,
515,-0.008,2.983,3.307,3.532,,,,,,
516,-0.008,3.004,3.334,3.56,,,,,,
517,-0.006,3.023,3.359,3.586,,,,,,
518,-0.004,3.036,3.377,3.607,,,,,,
519,-0.005,3.046,3.389,3.619,,,,,,
520,-0.007,3.061,3.407,3.642,,,,,,
521,-0.008,3.086,3.439,3.676,,,,,,
522,-0.009,3.116,3.479,3.719,,,,,,
523,-0.009,3.147,3.521,3.765,,,,,,
524,-0.006,3.187,3.573,3.823,,,,,,
525,-0.006,3.226,3.627,3.881,,,,,,
526,-0.006,3.271,3.681,3.94,,,,,,
527,-0.004,3.329,3.755,4.02,,,,,,
528,-0.002,3.389,3.835,4.106,,,,,,
529,-0.004,3.434,3.886,4.164,,,,,,
530,-0.008,3.495,3.948,4.236,,,,,,
531,-0.011,3.585,4.052,4.349,,,,,,
532,-0.008,3.701,4.193,4.498,,,,,,
533,-0.005,3.796,4.309,4.619,,,,,,
534,-0.007,3.872,4.387,4.708,,,,,,
535,-0.008,3.962,4.487,4.817,,,,,,
536,-0.007,4.075,4.616,4.956,,,,,,
537,-0.008,4.177,4.73,5.079,,,,,,
538,-0.01,4.265,4.823,5.182,,,,,,
539,-0.009,4.368,4.938,5.305,,,,,,
540,-0.005,4.487,5.078,5.453,,,,,,
541,-0.003,4.589,5.194,5.578,,,,,,
542,-0.004,4.647,5.253,5.644,,,,,,
543,-0.007,4.679,5.28,5.674,,,,,,
544,-0.008,4.69,5.289,5.683,,,,,,
545,-0.007,4.678,5.276,5.668,,,,,,
546,-0.006,4.646,5.243,5.633,,,,,,
547,-0.006,4.587,5.176,5.562,,,,,,
548,-0.007,4.499,5.074,5.452,,,,,,
549,-0.009,4.374,4.932,5.298,,,,,,
550,-0.008,4.224,4.765,5.124,,,,,,
551,-0.007,4.061,4.587,4.934,,,,,,
552,-0.006,3.886,4.392,4.728,,,,,,
553,-0.004,3.705,4.187,4.514,,,,,,
554,-0.004,3.514,3.972,4.287,,,,,,
555,-0.005,3.313,3.748,4.048,,,,,,
556,-0.006,3.11,3.523,3.814,,,,,,
557,-0.005,2.912,3.303,3.586,,,,,,
558,-0.004,2.723,3.094,3.368,,,,,,
559,-0.004,2.538,2.894,3.16,,,,,,
560,-0.006,2.363,2.702,2.961,,,,,,
561,-0.005,2.197,2.523,2.775,,,,,,
562,-0.005,2.045,2.359,2.607,,,,,,
563,-0.005,1.907,2.212,2.457,,,,,,
564,-0.004,1.779,2.077,2.321,,,,,,
565,-0.005,1.658,1.951,2.197,,,,,,
566,-0.002,1.542,1.835,2.08,,,,,,
567,-0.003,1.446,1.736,1.982,,,,,,
568,-0.004,1.367,1.657,1.907,,,,,,
569,-0.004,1.299,1.597,1.85,,,,,,
570,-0.005,1.233,1.538,1.797,,,,,,
571,-0.005,1.173,1.489,1.754,,,,,,
572,-0.004,1.12,1.443,1.715,,,,,,
573,-0.005,1.079,1.41,1.691,,,,,,
574,-0.006,1.049,1.394,1.684,,,,,,
575,-0.005,1.028,1.391,1.69,,,,,,
576,-0.004,1.008,1.386,1.698,,,,,,
577,-0.005,1.001,1.395,1.72,,,,,,
578,-0.005,1.004,1.416,1.753,,,,,,
579,-0.005,1.01,1.445,1.794,,,,,,
580,-0.004,1.019,1.48,1.844,,,,,,
581,-0.004,1.033,1.519,1.9,,,,,,
582,-0.004,1.051,1.558,1.959,,,,,,
583,-0.004,1.071,1.606,2.023,,,,,,
584,-0.003,1.095,1.661,2.094,,,,,,
585,-0.003,1.125,1.718,2.169,,,,,,
586,-0.002,1.158,1.78,2.254,,,,,,
587,-0.003,1.194,1.848,2.342,,,,,,
588,-0.003,1.233,1.919,2.432,,,,,,
589,-0.002,1.271,1.99,2.524,,,,,,
590,-0.002,1.31,2.06,2.616,,,,,,
591,-0.004,1.349,2.126,2.704,,,,,,
592,-0.005,1.393,2.201,2.797,,,,,,
593,-0.004,1.437,2.279,2.896,,,,,,
594,-0.003,1.479,2.355,2.99,,,,,,
595,-0.004,1.519,2.426,3.074,,,,,,
596,-0.004,1.557,2.495,3.161,,,,,,
597,-0.004,1.593,2.556,3.242,,,,,,
598,-0.006,1.615,2.595,3.295,,,,,,
599,-0.006,1.642,2.641,3.352,,,,,,
600,-0.004,1.679,2.699,3.422,,,,,,
601,-0.006,1.703,2.742,3.476,,,,,,
602,-0.003,1.725,2.783,3.525,,,,,,
603,-0.003,1.744,2.821,3.573,,,,,,
604,-0.004,1.757,2.848,3.608,,,,,,
605,-0.005,1.764,2.861,3.627,,,,,,
606,-0.007,1.765,2.861,3.632,,,,,,
607,-0.01,1.773,2.876,3.648,,,,,,
608,-0.007,1.788,2.9,3.673,,,,,,
609,-0.004,1.797,2.918,3.693,,,,,,
610,-0.004,1.797,2.922,3.702,,,,,,
611,-0.007,1.796,2.917,3.703,,,,,,
612,-0.008,1.809,2.936,3.721,,,,,,
613,-0.007,1.825,2.958,3.749,,,,,,
614,-0.004,1.842,2.985,3.783,,,,,,
615,-0.004,1.861,3.016,3.821,,,,,,
616,-0.007,1.883,3.051,3.864,,,,,,
617,-0.003,1.912,3.097,3.925,,,,,,
618,-0.005,1.944,3.151,3.995,,,,,,
619,-0.003,1.983,3.214,4.075,,,,,,
620,-0.003,2.028,3.286,4.168,,,,,,
621,-0.005,2.082,3.371,4.274,,,,,,
622,-0.003,2.149,3.472,4.402,,,,,,
623,-0.004,2.216,3.583,4.541,,,,,,
624,-0.006,2.289,3.71,4.698,,,,,,
625,-0.007,2.375,3.852,4.876,,,,,,
626,-0.005,2.471,4.003,5.072,,,,,,
627,-0.004,2.57,4.164,5.276,,,,,,
628,-0.008,2.675,4.33,5.492,,,,,,
629,-0.01,2.797,4.529,5.744,,,,,,
630,-0.007,2.936,4.753,6.024,,,,,,
631,-0.004,3.079,4.984,6.313,,,,,,
632,-0.008,3.228,5.225,6.618,,,,,,
633,-0.007,3.392,5.493,6.945,,,,,,
634,-0.007,3.559,5.764,7.29,,,,,,
635,-0.007,3.725,6.03,7.633,,,,,,
636,-0.006,3.904,6.319,7.996,,,,,,
637,-0.002,4.09,6.626,8.371,,,,,,
638,-0.009,4.271,6.922,8.743,,,,,,
639,-0.006,4.458,7.224,9.13,,,,,,
640,-0.004,4.644,7.526,9.511,,,,,,
641,-0.008,4.823,7.819,9.877,,,,,,
642,-0.014,4.993,8.101,10.228,,,,,,
643,-0.006,5.16,8.371,10.565,,,,,,
644,-0.01,5.31,8.616,10.87,,,,,,
645,-0.01,5.453,8.846,11.151,,,,,,
646,-0.006,5.578,9.051,11.402,,,,,,
647,-0.003,5.679,9.215,11.609,,,,,,
648,-0.006,5.757,9.336,11.761,,,,,,
649,-0.007,5.803,9.425,11.863,,,,,,
650,-0.007,5.827,9.468,11.91,,,,,,
651,-0.008,5.827,9.468,11.907,,,,,,
652,-0.009,5.794,9.417,11.839,,,,,,
653,-0.011,5.723,9.301,11.69,,,,,,
654,-0.01,5.622,9.139,11.485,,,,,,
655,-0.008,5.494,8.94,11.222,,,,,,
656,-0.006,5.351,8.705,10.918,,,,,,
657,-0.007,5.187,8.435,10.579,,,,,,
658,-0.009,4.998,8.135,10.201,,,,,,
659,-0.009,4.801,7.817,9.79,,,,,,
660,-0.009,4.584,7.459,9.342,,,,,,
661,-0.011,4.34,7.064,8.847,,,,,,
662,-0.012,4.077,6.633,8.306,,,,,,
663,-0.012,3.822,6.211,7.776,,,,,,
664,-0.014,3.564,5.798,7.244,,,,,,
665,-0.014,3.315,5.39,6.73,,,,,,
666,-0.014,3.064,4.983,6.221,,,,,,
667,-0.013,2.821,4.59,5.729,,,,,,
668,-0.011,2.593,4.211,5.255,,,,,,
669,-0.006,2.377,3.847,4.803,,,,,,
670,-0.013,2.161,3.506,4.369,,,,,,
671,-0.02,1.962,3.178,3.96,,,,,,
672,-0.017,1.774,2.87,3.579,,,,,,
673,-0.012,1.6,2.587,3.227,,,,,,
674,-0.014,1.441,2.324,2.897,,,,,,
675,-0.014,1.29,2.083,2.595,,,,,,
676,-0.012,1.158,1.863,2.326,,,,,,
677,-0.015,1.038,1.661,2.079,,,,,,
678,-0.014,0.925,1.477,1.847,,,,,,
679,-0.01,0.817,1.309,1.633,,,,,,
680,-0.013,0.72,1.151,1.446,,,,,,
681,-0.011,0.639,1.015,1.278,,,,,,
682,-0.012,0.564,0.898,1.13,,,,,,
683,-0.013,0.501,0.792,1.004,,,,,,
684,-0.014,0.448,0.697,0.894,,,,,,
685,-0.013,0.398,0.617,0.79,,,,,,
686,-0.011,0.357,0.543,0.702,,,,,,
687,-0.004,0.314,0.479,0.625,,,,,,
688,-0.005,0.274,0.417,0.548,,,,,,
689,-0.011,0.238,0.359,0.476,,,,,,
690,-0.013,0.208,0.308,0.417,,,,,,
691,-0.007,0.186,0.274,0.371,,,,,,
692,-0.01,0.166,0.233,0.323,,,,,,
693,-0.014,0.139,0.197,0.285,,,,,,
694,-0.018,0.118,0.167,0.245,,,,,,
695,-0.017,0.104,0.141,0.207,,,,,,
696,-0.011,0.087,0.118,0.181,,,,,,
697,-0.009,0.082,0.097,0.154,,,,,,
698,-0.008,0.066,0.077,0.131,,,,,,
699,-0.011,0.049,0.053,0.103,,,,,,
700,-0.014,0.036,0.028,0.074,,,,,,
701,-0.013,0.027,0.008,0.051,,,,,,
702,-0.019,0.021,0.003,0.042,,,,,,
703,-0.021,0.018,-0.009,0.032,,,,,,
704,-0.018,0.015,-0.016,0.025,,,,,,
705,-0.019,0.003,-0.023,0.01,,,,,,
706,-0.024,-0.012,-0.033,-0.005,,,,,,
707,-0.021,-0.008,-0.038,-0.001,,,,,,
708,-0.017,-0.014,-0.052,-0.016,,,,,,
709,-0.011,-0.011,-0.051,-0.017,,,,,,
710,-0.006,-0.012,-0.049,-0.022,,,,,,
711,-0.007,-0.016,-0.052,-0.027,,,,,,
712,-0.011,-0.018,-0.059,-0.028,,,,,,
713,-0.011,-0.028,-0.067,-0.045,,,,,,
714,-0.016,-0.027,-0.07,-0.048,,,,,,
715,-0.013,-0.03,-0.073,-0.047,,,,,,
716,-0.009,-0.032,-0.076,-0.049,,,,,,
717,-0.009,-0.031,-0.079,-0.057,,,,,,
718,-0.016,-0.037,-0.083,-0.066,,,,,,
719,-0.014,-0.036,-0.088,-0.067,,,,,,
