10		10		10		10	
20220913 biotin dsnPPR10C2 IMAC001:10_UV		20220913 biotin dsnPPR10C2 IMAC001:10_Cond		20220913 biotin dsnPPR10C2 IMAC001:10_Conc		20220913 biotin dsnPPR10C2 IMAC001:10_Fractions	
ml	 mAU	ml	 mS/cm	ml	 %B	ml	(Fractions)
  16.706	  253.008000	  17.196	   17.448000	  19.652	   19.100000	         	            
  16.847	  226.618000	  17.342	   17.468000	  19.819	   19.300000	         	            
  16.989	  202.879000	  17.487	   17.485000	  19.986	   19.500000	         	            
  17.131	  180.450000	  17.633	   17.496000	  20.152	   19.600000	         	            
  17.272	  160.595000	  17.779	   17.508000	  20.319	   19.800000	         	            
  17.414	  144.697000	  17.924	   17.522000	  20.485	   20.000000	         	            
  17.555	  131.355000	  18.070	   17.541000	  20.652	   20.200000	         	            
  17.697	  121.426000	  18.216	   17.557000	  20.818	   20.300000	         	            
  17.838	  113.518000	  18.362	   17.569000	  20.985	   20.500000	         	            
  17.980	  106.933000	  18.507	   17.588000	  21.151	   20.700000	         	            
  18.122	  101.815000	  18.653	   17.607000	  21.318	   20.800000	         	            
  18.263	   97.891000	  18.799	   17.621000	  21.484	   21.000000	         	            
  18.405	   94.987000	  18.945	   17.636000	  21.651	   21.200000	         	            
  18.546	   92.713000	  19.090	   17.651000	  21.818	   21.300000	         	            
  18.688	   91.116000	  19.236	   17.664000	  21.984	   21.500000	         	            
  18.829	   89.995000	  19.382	   17.675000	  22.151	   21.600000	         	            
  18.971	   89.094000	  19.527	   17.688000	  22.317	   21.800000	         	            
  19.113	   88.290000	  19.673	   17.694000	  22.484	   22.000000	         	            
  19.254	   87.736000	  19.819	   17.706000	  22.650	   22.100000	         	            
  19.396	   87.289000	  19.965	   17.720000	  22.817	   22.300000	         	            
  19.537	   86.678000	  20.110	   17.738000	  22.983	   22.400000	         	            
  19.679	   86.320000	  20.256	   17.750000	  23.150	   22.600000	         	            
  19.821	   85.885000	  20.402	   17.767000	  23.316	   22.800000	         	            
  19.962	   85.173000	  20.548	   17.787000	  23.483	   22.900000	         	            
  20.104	   84.261000	  20.693	   17.799000	  23.650	   23.100000	         	            
  20.245	   83.433000	  20.839	   17.807000	  23.816	   23.300000	         	            
  20.387	   82.435000	  20.985	   17.830000	  23.983	   23.400000	         	            
  20.528	   81.382000	  21.130	   17.844000	  24.149	   23.600000	         	            
  20.670	   80.567000	  21.276	   17.858000	  24.316	   23.800000	         	            
